,Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg,Unnamed: 0,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg
620,2016 05 17 0,7,6,6.5,4,4,4.0,4.0,2,3.0,4.0,4,4.0,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
621,2016 05 17 1,7,8,7.5,8,10,9.0,6.0,5,5.5,9.0,7,8.0,4.0,6.0,5.0,8.0,7.0,7.5,,,,,,,,,,,,,,,,,,,
622,2016 05 17 2,7,7,7.0,10,8,9.0,6.0,4,5.0,10.0,7,8.5,5.0,6.0,5.5,6.0,7.0,6.5,2016 05 17 2,,,,,,,8.0,,8.0,7.0,,7.0,,,,,,
623,2016 05 17 3,7,7,7.0,3,4,3.5,6.0,5,5.5,5.0,5,5.0,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
624,2016 05 17 4,6,7,6.5,8,9,8.5,6.0,3,4.5,10.0,7,8.5,5.0,6.0,5.5,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
625,2016 05 17 5,6,7,6.5,7,7,7.0,5.0,5,5.0,6.0,5,5.5,5.0,6.0,5.5,6.0,6.0,6.0,2016 05 17 5,4.0,4.0,4.0,7.0,6.0,6.5,,,,,,,6.0,5.0,5.5,6.0,5.0,5.5
626,2016 05 17 6,8,6,7.0,10,8,9.0,7.0,5,6.0,9.0,8,8.5,5.0,6.0,5.5,6.0,6.0,6.0,2016 05 17 6,,,,,,,5.0,6.0,5.5,5.0,6.0,5.5,6.0,,6.0,6.0,,6.0
627,2016 05 17 7,7,6,6.5,7,7,7.0,2.0,2,2.0,8.0,6,7.0,5.0,5.0,5.0,5.0,6.0,5.5,,,,,,,,,,,,,,,,,,,
628,2016 05 17 8,5,6,5.5,6,8,7.0,5.0,5,5.0,9.0,6,7.5,6.0,6.0,6.0,7.0,6.0,6.5,2016 05 17 8,3.0,,3.0,6.0,,6.0,,,,,,,,,,,,
629,2016 05 17 9,6,7,6.5,3,3,3.0,6.0,7,6.5,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0,2016 05 17 9,1.0,,1.0,8.0,,8.0,4.0,,4.0,8.0,,8.0,,,,,,
630,2016 05 12 0,7,7,7.0,2,3,2.5,7.0,7,7.0,3.0,3,3.0,7.0,6.0,6.5,3.0,4.0,3.5,2016 05 12 0,4.0,,4.0,6.0,,6.0,,,,,,,4.0,,4.0,5.0,,5.0
631,2016 05 12 1,6,6,6.0,7,7,7.0,5.0,4,4.5,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,,
632,2016 05 12 2,7,7,7.0,1,3,2.0,9.0,7,8.0,1.0,2,1.5,8.0,7.0,7.5,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
633,2016 05 12 3,6,6,6.0,8,8,8.0,2.0,2,2.0,8.0,8,8.0,5.0,5.0,5.0,6.0,7.0,6.5,2016 05 12 3,,,,,,,9.0,,9.0,6.0,,6.0,7.0,,7.0,7.0,,7.0
634,2016 05 12 4,7,7,7.0,7,7,7.0,7.0,7,7.0,8.0,6,7.0,6.0,6.0,6.0,6.0,6.0,6.0,2016 05 12 4,4.0,,4.0,6.0,,6.0,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
635,2016 05 12 5,6,6,6.0,7,7,7.0,6.0,5,5.5,5.0,6,5.5,5.0,6.0,5.5,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,
636,2016 05 12 6,6,7,6.5,6,7,6.5,5.0,6,5.5,8.0,5,6.5,7.0,7.0,7.0,7.0,6.0,6.5,2016 05 12 6,3.0,,3.0,7.0,,7.0,,,,,,,,,,,,
637,2016 05 12 7,6,6,6.0,8,4,6.0,7.0,3,5.0,9.0,6,7.5,6.0,6.0,6.0,7.0,6.0,6.5,2016 05 12 7,2.0,,2.0,8.0,,8.0,,,,,,,6.0,,6.0,6.0,,6.0
638,2016 05 12 8,6,6,6.0,8,8,8.0,5.0,5,5.0,7.0,6,6.5,5.0,6.0,5.5,6.0,6.0,6.0,2016 05 12 8,5.0,,5.0,6.0,,6.0,,,,,,,5.0,6.0,5.5,6.0,5.0,5.5
639,2016 05 12 9,5,6,5.5,7,7,7.0,5.0,5,5.0,5.0,5,5.0,4.0,5.0,4.5,6.0,6.0,6.0,2016 05 12 9,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,,,,,,,
