,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 04 24 1,5.0,6.0,5.5,4.0,5.0,4.5,5.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,2015 04 24 1
2015 04 24 2,6.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,2.0,2.0,,,,,,,2015 04 24 2
2015 04 24 3,5.0,5.0,5.0,3.0,3.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,,2.0,2.0,,2.0,2015 04 24 3
2015 04 24 4,,,,,,,9.0,8.0,8.5,2.0,1.0,1.5,8.0,,8.0,3.0,,3.0,2015 04 24 4
2015 04 24 5,5.0,,5.0,4.0,,4.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,2015 04 24 5
2015 04 24 6,6.0,6.0,6.0,3.0,3.0,3.0,6.0,,6.0,3.0,,3.0,6.0,5.0,5.5,5.0,5.0,5.0,2015 04 24 6
2015 04 24 7,,,,,,,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,2015 04 24 7
2015 04 24 8,,,,,,,7.0,,7.0,4.0,,4.0,6.0,6.0,6.0,4.0,5.0,4.5,2015 04 24 8
2015 04 24 9,5.0,5.0,5.0,5.0,4.0,4.5,6.0,6.0,6.0,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0,2015 04 24 9
2015 04 29 0,7.0,6.0,6.5,3.0,4.0,3.5,8.0,7.0,7.5,5.0,3.0,4.0,7.0,6.0,6.5,4.0,5.0,4.5,2015 04 29 0
2015 04 29 1,7.0,7.0,7.0,3.0,3.0,3.0,7.0,,7.0,5.0,,5.0,7.0,,7.0,4.0,,4.0,2015 04 29 1
2015 04 29 2,7.0,6.0,6.5,10.0,7.0,8.5,6.0,6.0,6.0,9.0,9.0,9.0,6.0,4.0,5.0,6.0,5.0,5.5,2015 04 29 2
2015 04 29 3,6.0,,6.0,4.0,,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0,2015 04 29 3
2015 04 29 4,5.0,5.0,5.0,6.0,5.0,5.5,5.0,,5.0,6.0,,6.0,5.0,,5.0,5.0,,5.0,2015 04 29 4
2015 04 29 5,,,,,,,6.0,,6.0,4.0,,4.0,,,,,,,2015 04 29 5
2015 04 29 7,7.0,7.0,7.0,2.0,3.0,2.5,7.0,,7.0,3.0,,3.0,6.0,,6.0,2.0,,2.0,2015 04 29 7
2015 04 29 8,6.0,6.0,6.0,2.0,4.0,3.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,2015 04 29 8
2015 04 29 9,6.0,7.0,6.5,4.0,3.0,3.5,6.0,7.0,6.5,3.0,2.0,2.5,,,,,,,2015 04 29 9
2015 05 12 0,6.0,,6.0,3.0,,3.0,6.0,,6.0,3.0,,3.0,,,,,,,2015 05 12 0
2015 05 12 1,5.0,,5.0,6.0,,6.0,,,,,,,5.0,,5.0,6.0,,6.0,2015 05 12 1
