,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2016 10 26 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 10 26 8
2016 10 26 9,,,,,,,6.0,6.0,6.0,8.0,9.0,8.5,,,,,,,2016 10 26 9
2016 10 31 1,6.0,,6.0,6.0,,6.0,6.0,,6.0,8.0,,8.0,,,,,,,2016 10 31 1
2016 10 31 2,6.0,,6.0,7.0,,7.0,6.0,,6.0,8.0,,8.0,,,,,,,2016 10 31 2
2016 10 31 3,6.0,,6.0,6.0,,6.0,,,,,,,,,,,,,2016 10 31 3
2016 10 31 4,6.0,,6.0,4.0,,4.0,6.0,,6.0,3.0,,3.0,,,,,,,2016 10 31 4
2016 10 31 5,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 10 31 5
2016 10 31 6,,,,,,,7.0,,7.0,4.0,,4.0,,,,,,,2016 10 31 6
2016 10 31 7,,,,,,,,,,,,,6.0,,6.0,4.0,,4.0,2016 10 31 7
2016 10 31 8,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 10 31 8
2016 10 31 9,5.0,,5.0,3.0,,3.0,5.0,,5.0,2.0,,2.0,,,,,,,2016 10 31 9
2016 11 04 0,6.0,,6.0,4.0,,4.0,,,,,,,6.0,,6.0,3.0,,3.0,2016 11 04 0
2016 11 04 1,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,3.0,,3.0,2016 11 04 1
2016 11 04 2,6.0,,6.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 11 04 2
2016 11 04 3,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2016 11 04 3
2016 11 04 4,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 11 04 4
2016 11 04 5,5.0,,5.0,4.0,,4.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 11 04 5
2016 11 04 6,6.0,,6.0,4.0,,4.0,6.0,,6.0,3.0,,3.0,,,,,,,2016 11 04 6
2016 11 04 7,,,,,,,,,,,,,6.0,,6.0,4.0,,4.0,2016 11 04 7
2016 11 04 8,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,,2016 11 04 8
2016 11 04 9,7.0,,7.0,3.0,,3.0,7.0,,7.0,7.0,,7.0,,,,,,,2016 11 04 9
2016 11 16 0,5.0,,5.0,4.0,,4.0,,,,,,,5.0,,5.0,4.0,,4.0,2016 11 16 0
2016 11 16 2,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 11 16 2
2016 11 16 3,7.0,,7.0,3.0,,3.0,6.0,,6.0,2.0,,2.0,,,,,,,2016 11 16 3
2016 11 16 4,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2016 11 16 4
2016 11 16 5,5.0,,5.0,4.0,,4.0,6.0,,6.0,5.0,,5.0,,,,,,,2016 11 16 5
2016 11 16 6,,,,,,,7.0,,7.0,5.0,,5.0,,,,,,,2016 11 16 6
2016 11 16 7,,,,,,,7.0,7.0,7.0,4.0,3.0,3.5,,,,,,,2016 11 16 7
2016 11 16 9,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 11 16 9
2016 11 21 0,,,,,,,6.0,,6.0,3.0,,3.0,,,,,,,2016 11 21 0
2016 11 21 1,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 11 21 1
2016 11 21 2,6.0,6.0,6.0,5.0,4.0,4.5,,,,,,,,,,,,,2016 11 21 2
2016 11 21 3,7.0,,7.0,3.0,,3.0,6.0,,6.0,2.0,,2.0,,,,,,,2016 11 21 3
2016 11 21 4,5.0,,5.0,3.0,,3.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 11 21 4
2016 11 21 5,7.0,,7.0,3.0,,3.0,7.0,,7.0,2.0,,2.0,,,,,,,2016 11 21 5
2016 11 21 6,6.0,,6.0,5.0,,5.0,6.0,,6.0,5.0,,5.0,,,,,,,2016 11 21 6
2016 11 21 7,6.0,,6.0,4.0,,4.0,7.0,,7.0,4.0,,4.0,,,,,,,2016 11 21 7
2016 11 21 8,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,5.0,,5.0,2016 11 21 8
2016 11 21 9,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2016 11 21 9
2016 11 24 0,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 11 24 0
2016 11 24 1,,,,,,,8.0,,8.0,3.0,,3.0,,,,,,,2016 11 24 1
2016 11 24 2,,,,,,,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,2016 11 24 2
2016 11 24 3,6.0,,6.0,3.0,,3.0,,,,,,,6.0,,6.0,3.0,,3.0,2016 11 24 3
2016 11 24 4,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2016 11 24 4
2016 11 24 5,9.0,,9.0,2.0,,2.0,8.0,,8.0,2.0,,2.0,,,,,,,2016 11 24 5
2016 11 24 6,6.0,,6.0,4.0,,4.0,8.0,,8.0,2.0,,2.0,,,,,,,2016 11 24 6
2016 11 24 7,5.0,,5.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 11 24 7
2016 11 24 8,,,,,,,6.0,6.0,6.0,5.0,5.0,5.0,,,,,,,2016 11 24 8
2016 11 24 9,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2016 11 24 9
2016 11 29 0,,,,,,,6.0,,6.0,4.0,,4.0,,,,,,,2016 11 29 0
2016 11 29 1,6.0,,6.0,2.0,,2.0,,,,,,,6.0,,6.0,4.0,,4.0,2016 11 29 1
2016 11 29 3,5.0,,5.0,4.0,,4.0,,,,,,,5.0,,5.0,4.0,,4.0,2016 11 29 3
2016 11 29 4,,,,,,,7.0,,7.0,6.0,,6.0,,,,,,,2016 11 29 4
2016 11 29 5,7.0,,7.0,2.0,,2.0,8.0,,8.0,6.0,,6.0,,,,,,,2016 11 29 5
2016 11 29 6,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,,2016 11 29 6
2016 11 29 7,,,,,,,8.0,,8.0,3.0,,3.0,,,,,,,2016 11 29 7
2016 11 29 8,5.0,,5.0,4.0,,4.0,7.0,,7.0,5.0,,5.0,,,,,,,2016 11 29 8
2016 12 02 0,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,2016 12 02 0
2016 12 02 2,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,3.0,,3.0,2016 12 02 2
2016 12 02 3,,,,,,,9.0,,9.0,2.0,,2.0,,,,,,,2016 12 02 3
2016 12 02 6,7.0,,7.0,9.0,,9.0,7.0,,7.0,9.0,,9.0,,,,,,,2016 12 02 6
2016 12 02 7,5.0,,5.0,3.0,,3.0,6.0,,6.0,3.0,,3.0,,,,,,,2016 12 02 7
2016 12 02 8,6.0,,6.0,4.0,,4.0,,,,,,,6.0,,6.0,5.0,,5.0,2016 12 02 8
2016 12 02 9,5.0,,5.0,6.0,,6.0,5.0,,5.0,6.0,,6.0,,,,,,,2016 12 02 9
2016 12 07 0,6.0,,6.0,4.0,,4.0,7.0,,7.0,3.0,,3.0,,,,,,,2016 12 07 0
2016 12 07 1,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 12 07 1
2016 12 07 2,,,,,,,7.0,,7.0,5.0,,5.0,,,,,,,2016 12 07 2
2016 12 07 3,6.0,,6.0,3.0,,3.0,,,,,,,,,,,,,2016 12 07 3
2016 12 07 4,8.0,,8.0,2.0,,2.0,,,,,,,7.0,,7.0,3.0,,3.0,2016 12 07 4
2016 12 07 5,6.0,,6.0,4.0,,4.0,,,,,,,8.0,,8.0,8.0,,8.0,2016 12 07 5
2016 12 07 6,7.0,7.0,7.0,2.0,3.0,2.5,,,,,,,,,,,,,2016 12 07 6
2016 12 07 8,7.0,,7.0,4.0,,4.0,6.0,,6.0,5.0,,5.0,,,,,,,2016 12 07 8
2016 12 07 9,6.0,,6.0,2.0,,2.0,6.0,,6.0,3.0,,3.0,,,,,,,2016 12 07 9
2016 12 12 0,6.0,,6.0,4.0,,4.0,,,,,,,6.0,,6.0,5.0,,5.0,2016 12 12 0
2016 12 12 1,7.0,,7.0,3.0,,3.0,8.0,,8.0,3.0,,3.0,,,,,,,2016 12 12 1
2016 12 12 2,7.0,,7.0,3.0,,3.0,,,,,,,7.0,,7.0,4.0,,4.0,2016 12 12 2
2016 12 12 3,6.0,,6.0,4.0,,4.0,,,,,,,7.0,,7.0,5.0,,5.0,2016 12 12 3
2016 12 12 4,,,,,,,,,,,,,6.0,,6.0,4.0,,4.0,2016 12 12 4
2016 12 12 5,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2016 12 12 5
2016 12 12 6,7.0,,7.0,2.0,,2.0,,,,,,,7.0,,7.0,3.0,,3.0,2016 12 12 6
2016 12 12 7,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2016 12 12 7
2016 12 12 8,6.0,,6.0,5.0,,5.0,,,,,,,,,,,,,2016 12 12 8
2016 12 12 9,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,3.0,,3.0,2016 12 12 9
2017 01 30 0,5.0,,5.0,7.0,,7.0,7.0,,7.0,8.0,,8.0,,,,,,,2017 01 30 0
2017 01 30 1,5.0,,5.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,,,,,,,2017 01 30 1
2017 01 30 2,6.0,,6.0,3.0,,3.0,,,,,,,6.0,,6.0,4.0,,4.0,2017 01 30 2
2017 01 30 4,,,,,,,6.0,,6.0,1.0,,1.0,,,,,,,2017 01 30 4
2017 01 30 5,6.0,,6.0,3.0,,3.0,5.0,,5.0,1.0,,1.0,,,,,,,2017 01 30 5
2017 01 30 6,6.0,6.0,6.0,4.0,5.0,4.5,,,,,,,,,,,,,2017 01 30 6
2017 01 30 7,4.0,,4.0,3.0,,3.0,,,,,,,,,,,,,2017 01 30 7
2017 01 30 8,7.0,,7.0,5.0,,5.0,6.0,,6.0,9.0,,9.0,,,,,,,2017 01 30 8
2017 01 30 9,,,,,,,5.0,5.0,5.0,4.0,2.0,3.0,,,,,,,2017 01 30 9
2017 02 02 0,,,,,,,,,,,,,5.0,,5.0,8.0,,8.0,2017 02 02 0
2017 02 02 1,,,,,,,6.0,,6.0,8.0,,8.0,,,,,,,2017 02 02 1
2017 02 02 2,8.0,,8.0,3.0,,3.0,8.0,,8.0,5.0,,5.0,,,,,,,2017 02 02 2
2017 02 02 3,5.0,,5.0,10.0,,10.0,5.0,,5.0,7.0,,7.0,,,,,,,2017 02 02 3
2017 02 02 4,6.0,,6.0,4.0,,4.0,7.0,,7.0,3.0,,3.0,,,,,,,2017 02 02 4
2017 02 02 5,,,,,,,,,,,,,4.0,5.0,4.5,3.0,6.0,4.5,2017 02 02 5
2017 02 02 6,6.0,,6.0,3.0,,3.0,,,,,,,7.0,,7.0,3.0,,3.0,2017 02 02 6
2017 02 02 7,6.0,5.0,5.5,4.0,4.0,4.0,,,,,,,,,,,,,2017 02 02 7
2017 02 02 8,5.0,,5.0,6.0,,6.0,5.0,,5.0,4.0,,4.0,,,,,,,2017 02 02 8
2017 02 02 9,6.0,,6.0,8.0,,8.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 02 02 9
2017 02 07 0,5.0,,5.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,,,,,,,2017 02 07 0
2017 02 07 1,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2017 02 07 1
2017 02 07 2,5.0,,5.0,2.0,,2.0,7.0,,7.0,1.0,,1.0,,,,,,,2017 02 07 2
2017 02 07 3,7.0,,7.0,0.0,,0.0,7.0,,7.0,3.0,,3.0,,,,,,,2017 02 07 3
2017 02 07 4,6.0,,6.0,4.0,,4.0,,,,,,,,,,,,,2017 02 07 4
2017 02 07 5,7.0,,7.0,3.0,,3.0,,,,,,,6.0,,6.0,5.0,,5.0,2017 02 07 5
2017 02 07 7,6.0,,6.0,7.0,,7.0,6.0,,6.0,6.0,,6.0,,,,,,,2017 02 07 7
2017 02 07 8,,,,,,,6.0,,6.0,5.0,,5.0,,,,,,,2017 02 07 8
2017 02 07 9,,,,,,,5.0,,5.0,6.0,,6.0,,,,,,,2017 02 07 9
2017 02 10 0,4.0,,4.0,7.0,,7.0,,,,,,,,,,,,,2017 02 10 0
2017 02 10 1,9.0,,9.0,1.0,,1.0,,,,,,,,,,,,,2017 02 10 1
2017 02 10 2,7.0,,7.0,2.0,,2.0,,,,,,,,,,,,,2017 02 10 2
2017 02 10 3,6.0,,6.0,4.0,,4.0,,,,,,,6.0,,6.0,6.0,,6.0,2017 02 10 3
2017 02 10 4,5.0,,5.0,4.0,,4.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 02 10 4
2017 02 10 5,5.0,,5.0,5.0,,5.0,,,,,,,,,,,,,2017 02 10 5
2017 02 10 6,7.0,,7.0,3.0,,3.0,,,,,,,,,,,,,2017 02 10 6
2017 02 10 7,,,,,,,,,,,,,6.0,7.0,6.5,6.0,4.0,5.0,2017 02 10 7
2017 02 10 8,5.0,,5.0,5.0,,5.0,,,,,,,5.0,,5.0,5.0,,5.0,2017 02 10 8
2017 02 10 9,4.0,,4.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 02 10 9
2017 02 15 0,,,,,,,5.0,,5.0,4.0,,4.0,,,,,,,2017 02 15 0
2017 02 15 1,5.0,,5.0,7.0,,7.0,5.0,,5.0,7.0,,7.0,,,,,,,2017 02 15 1
2017 02 15 2,6.0,,6.0,3.0,,3.0,6.0,,6.0,1.0,,1.0,,,,,,,2017 02 15 2
2017 02 15 3,7.0,,7.0,2.0,,2.0,,,,,,,6.0,,6.0,3.0,,3.0,2017 02 15 3
2017 02 15 4,,,,,,,6.0,,6.0,5.0,,5.0,6.0,,6.0,6.0,,6.0,2017 02 15 4
2017 02 15 5,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2017 02 15 5
2017 02 15 6,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2017 02 15 6
2017 02 15 7,6.0,,6.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,,,,,,,2017 02 15 7
2017 02 15 8,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2017 02 15 8
2017 02 15 9,6.0,,6.0,5.0,,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 02 15 9
2017 02 21 0,,,,,,,,,,,,,6.0,,6.0,5.0,,5.0,2017 02 21 0
2017 02 21 1,7.0,,7.0,1.0,,1.0,8.0,,8.0,2.0,,2.0,,,,,,,2017 02 21 1
2017 02 21 2,6.0,,6.0,7.0,,7.0,6.0,,6.0,7.0,,7.0,,,,,,,2017 02 21 2
2017 02 21 3,5.0,,5.0,5.0,,5.0,5.0,,5.0,8.0,,8.0,,,,,,,2017 02 21 3
2017 02 21 4,5.0,,5.0,4.0,,4.0,6.0,,6.0,3.0,,3.0,,,,,,,2017 02 21 4
2017 02 21 5,,,,,,,7.0,,7.0,4.0,,4.0,,,,,,,2017 02 21 5
2017 02 21 6,5.0,,5.0,6.0,,6.0,,,,,,,5.0,,5.0,5.0,,5.0,2017 02 21 6
2017 02 21 7,7.0,,7.0,4.0,,4.0,8.0,,8.0,6.0,,6.0,,,,,,,2017 02 21 7
2017 02 21 8,6.0,,6.0,3.0,,3.0,,,,,,,5.0,,5.0,5.0,,5.0,2017 02 21 8
2017 02 21 9,6.0,,6.0,4.0,,4.0,6.0,,6.0,3.0,,3.0,,,,,,,2017 02 21 9
2017 02 24 0,6.0,7.0,6.5,3.0,3.0,3.0,,,,,,,,,,,,,2017 02 24 0
2017 02 24 1,9.0,5.0,7.0,4.0,7.0,5.5,8.0,,8.0,5.0,,5.0,,,,,,,2017 02 24 1
2017 02 24 2,,,,,,,3.0,3.0,3.0,6.0,5.0,5.5,4.0,,4.0,5.0,,5.0,2017 02 24 2
2017 02 24 3,,,,,,,6.0,6.0,6.0,8.0,9.0,8.5,7.0,,7.0,6.0,,6.0,2017 02 24 3
2017 02 24 4,3.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,,,,,,,2017 02 24 4
2017 02 24 7,8.0,,8.0,5.0,,5.0,8.0,,8.0,5.0,,5.0,,,,,,,2017 02 24 7
2017 02 24 8,7.0,,7.0,5.0,,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,,6.0,6.0,,6.0,2017 02 24 8
2017 02 24 9,5.0,4.0,4.5,7.0,5.0,6.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,4.0,4.5,5.0,5.0,5.0,2017 02 24 9
2017 03 08 0,4.0,6.0,5.0,6.0,4.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,,,,,,,2017 03 08 0
2017 03 08 1,3.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,5.5,5.0,6.0,5.5,,,,,,,2017 03 08 1
2017 03 08 2,3.0,,3.0,6.0,,6.0,7.0,3.0,5.0,3.0,7.0,5.0,,,,,,,2017 03 08 2
2017 03 08 3,6.0,4.0,5.0,3.0,6.0,4.5,,,,,,,4.0,6.0,5.0,6.0,7.0,6.5,2017 03 08 3
2017 03 08 4,5.0,4.0,4.5,3.0,4.0,3.5,2.0,6.0,4.0,6.0,2.0,4.0,5.0,,5.0,4.0,,4.0,2017 03 08 4
2017 03 08 6,,,,,,,2.0,,2.0,6.0,,6.0,,,,,,,2017 03 08 6
2017 03 08 7,,,,,,,5.0,,5.0,5.0,,5.0,,,,,,,2017 03 08 7
2017 03 08 8,,,,,,,6.0,2.0,4.0,3.0,5.0,4.0,,,,,,,2017 03 08 8
2017 03 08 9,4.0,6.0,5.0,6.0,4.0,5.0,7.0,,7.0,7.0,,7.0,5.0,,5.0,5.0,,5.0,2017 03 08 9
2017 03 20 0,6.0,3.0,4.5,3.0,7.0,5.0,7.0,6.0,6.5,2.0,1.0,1.5,,,,,,,2017 03 20 0
2017 03 20 1,6.0,,6.0,4.0,,4.0,,,,,,,4.0,,4.0,5.0,,5.0,2017 03 20 1
2017 03 20 2,5.0,3.0,4.0,6.0,6.0,6.0,6.0,7.0,6.5,6.0,7.0,6.5,,,,,,,2017 03 20 2
2017 03 20 3,6.0,,6.0,7.0,,7.0,6.0,5.0,5.5,5.0,5.0,5.0,3.0,,3.0,4.0,,4.0,2017 03 20 3
2017 03 20 4,6.0,,6.0,5.0,,5.0,6.0,6.0,6.0,5.0,6.0,5.5,,,,,,,2017 03 20 4
2017 03 20 5,5.0,6.0,5.5,4.0,4.0,4.0,6.0,3.0,4.5,3.0,6.0,4.5,5.0,,5.0,5.0,,5.0,2017 03 20 5
2017 03 20 6,4.0,,4.0,6.0,,6.0,5.0,4.0,4.5,4.0,6.0,5.0,,,,,,,2017 03 20 6
2017 03 20 7,,,,,,,6.0,6.0,6.0,5.0,6.0,5.5,,,,,,,2017 03 20 7
2017 03 20 8,6.0,5.0,5.5,5.0,6.0,5.5,,,,,,,,,,,,,2017 03 20 8
2017 03 20 9,5.0,,5.0,5.0,,5.0,,,,,,,4.0,5.0,4.5,6.0,5.0,5.5,2017 03 20 9
2017 03 23 0,,,,,,,5.0,5.0,5.0,5.0,6.0,5.5,,,,,,,2017 03 23 0
2017 03 23 1,4.0,5.0,4.5,6.0,4.0,5.0,5.0,,5.0,6.0,,6.0,,,,,,,2017 03 23 1
2017 03 23 2,,,,,,,6.0,,6.0,6.0,,6.0,5.0,5.0,5.0,6.0,5.0,5.5,2017 03 23 2
2017 03 23 3,5.0,,5.0,5.0,,5.0,7.0,7.0,7.0,7.0,6.0,6.5,,,,,,,2017 03 23 3
2017 03 23 4,2.0,8.0,5.0,8.0,2.0,5.0,8.0,9.0,8.5,3.0,2.0,2.5,,,,,,,2017 03 23 4
2017 03 23 5,6.0,5.0,5.5,4.0,4.0,4.0,,,,,,,,,,,,,2017 03 23 5
2017 03 23 6,2.0,2.0,2.0,8.0,8.0,8.0,,,,,,,7.0,,7.0,3.0,,3.0,2017 03 23 6
2017 03 23 7,2.0,,2.0,6.0,,6.0,,,,,,,,,,,,,2017 03 23 7
2017 03 23 8,,,,,,,5.0,5.0,5.0,6.0,4.0,5.0,,,,,,,2017 03 23 8
2017 03 23 9,6.0,3.0,4.5,3.0,6.0,4.5,6.0,6.0,6.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,2017 03 23 9
2017 04 07 0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,6.0,,6.0,2017 04 07 0
2017 04 07 1,6.0,5.0,5.5,3.0,3.0,3.0,5.0,2.0,3.5,3.0,6.0,4.5,4.0,,4.0,4.0,,4.0,2017 04 07 1
2017 04 07 2,5.0,,5.0,3.0,,3.0,,,,,,,5.0,,5.0,5.0,,5.0,2017 04 07 2
2017 04 07 3,5.0,,5.0,4.0,,4.0,5.0,5.0,5.0,4.0,6.0,5.0,,,,,,,2017 04 07 3
2017 04 07 4,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.5,7.0,3.0,5.0,4.0,5.0,4.5,5.0,3.0,4.0,2017 04 07 4
2017 04 07 5,5.0,,5.0,5.0,,5.0,6.0,7.0,6.5,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,2017 04 07 5
2017 04 07 6,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5.0,,5.0,5.0,,5.0,2017 04 07 6
2017 04 07 7,6.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,4.0,3.0,3.5,6.0,,6.0,3.0,,3.0,2017 04 07 7
2017 04 07 9,6.0,,6.0,5.0,,5.0,,,,,,,6.0,,6.0,5.0,,5.0,2017 04 07 9
2017 04 12 0,6.0,7.0,6.5,5.0,5.0,5.0,5.0,,5.0,7.0,,7.0,,,,,,,2017 04 12 0
2017 04 12 1,4.0,5.0,4.5,5.0,4.0,4.5,4.0,6.0,5.0,6.0,4.0,5.0,6.0,,6.0,5.0,,5.0,2017 04 12 1
2017 04 12 2,6.0,6.0,6.0,7.0,6.0,6.5,7.0,7.0,7.0,7.0,8.0,7.5,7.0,,7.0,6.0,,6.0,2017 04 12 2
2017 04 12 3,5.0,,5.0,4.0,,4.0,4.0,5.0,4.5,5.0,3.0,4.0,4.0,,4.0,4.0,,4.0,2017 04 12 3
2017 04 12 4,7.0,6.0,6.5,3.0,3.0,3.0,7.0,7.0,7.0,4.0,3.0,3.5,,,,,,,2017 04 12 4
2017 04 12 5,6.0,5.0,5.5,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,,6.0,6.0,,6.0,2017 04 12 5
2017 04 12 6,6.0,6.0,6.0,5.0,5.0,5.0,6.0,,6.0,4.0,,4.0,5.0,4.0,4.5,5.0,5.0,5.0,2017 04 12 6
2017 04 12 7,,,,,,,7.0,,7.0,5.0,,5.0,7.0,6.0,6.5,4.0,4.0,4.0,2017 04 12 7
2017 04 12 8,3.0,5.0,4.0,6.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,3.5,5.0,,5.0,5.0,,5.0,2017 04 12 8
2017 04 12 9,6.0,,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,7.0,6.5,5.0,,5.0,5.0,,5.0,2017 04 12 9
2017 05 02 0,8.0,6.0,7.0,6.0,7.0,6.5,5.0,7.0,6.0,8.0,9.0,8.5,,,,,,,2017 05 02 0
2017 05 02 1,5.0,,5.0,4.0,,4.0,5.0,6.0,5.5,6.0,6.0,6.0,5.0,,5.0,5.0,,5.0,2017 05 02 1
2017 05 02 2,6.0,,6.0,3.0,,3.0,7.0,,7.0,2.0,,2.0,6.0,5.0,5.5,5.0,4.0,4.5,2017 05 02 2
2017 05 02 3,4.0,6.0,5.0,5.0,5.0,5.0,8.0,7.0,7.5,6.0,5.0,5.5,6.0,,6.0,7.0,,7.0,2017 05 02 3
2017 05 02 4,6.0,6.0,6.0,4.0,4.0,4.0,6.0,,6.0,5.0,,5.0,,,,,,,2017 05 02 4
2017 05 02 5,,,,,,,5.0,,5.0,3.0,,3.0,4.0,,4.0,5.0,,5.0,2017 05 02 5
2017 05 02 6,6.0,,6.0,5.0,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,2017 05 02 6
2017 05 02 7,6.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.5,8.0,6.0,7.0,6.0,,6.0,6.0,,6.0,2017 05 02 7
2017 05 02 8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2017 05 02 8
2017 05 02 9,4.0,4.0,4.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,,,,,,,2017 05 02 9
2017 05 05 0,5.0,3.0,4.0,2.0,5.0,3.5,5.0,5.0,5.0,3.0,3.0,3.0,,,,,,,2017 05 05 0
2017 05 05 1,2.0,7.0,4.5,7.0,3.0,5.0,,,,,,,3.0,,3.0,7.0,,7.0,2017 05 05 1
2017 05 05 2,6.0,6.0,6.0,5.0,5.0,5.0,5.0,,5.0,5.0,,5.0,,,,,,,2017 05 05 2
2017 05 05 3,5.0,7.0,6.0,10.0,5.0,7.5,5.0,,5.0,6.0,,6.0,,,,,,,2017 05 05 3
2017 05 05 4,,,,,,,7.0,3.0,5.0,5.0,7.0,6.0,,,,,,,2017 05 05 4
2017 05 05 5,,,,,,,7.0,8.0,7.5,8.0,7.0,7.5,,,,,,,2017 05 05 5
2017 05 05 6,,,,,,,3.0,6.0,4.5,6.0,2.0,4.0,6.0,,6.0,4.0,,4.0,2017 05 05 6
2017 05 05 7,5.0,5.0,5.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,2017 05 05 7
2017 05 05 8,,,,,,,6.0,,6.0,2.0,,2.0,4.0,6.0,5.0,6.0,5.0,5.5,2017 05 05 8
2017 05 05 9,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,7.0,7.0,7.0,4.0,4.0,4.0,2017 05 05 9
2017 05 10 0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,7.5,8.0,7.0,7.5,7.0,,7.0,8.0,,8.0,2017 05 10 0
2017 05 10 1,3.0,6.0,4.5,6.0,4.0,5.0,2.0,,2.0,6.0,,6.0,,,,,,,2017 05 10 1
2017 05 10 2,,,,,,,2.0,6.0,4.0,7.0,2.0,4.5,5.0,,5.0,5.0,,5.0,2017 05 10 2
2017 05 10 3,6.0,,6.0,3.0,,3.0,6.0,,6.0,3.0,,3.0,5.0,,5.0,5.0,,5.0,2017 05 10 3
2017 05 10 4,5.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,,,,,,,2017 05 10 4
2017 05 10 5,6.0,,6.0,5.0,,5.0,6.0,,6.0,6.0,,6.0,4.0,,4.0,5.0,,5.0,2017 05 10 5
2017 05 10 6,6.0,,6.0,3.0,,3.0,3.0,7.0,5.0,7.0,2.0,4.5,,,,,,,2017 05 10 6
2017 05 10 7,6.0,6.0,6.0,7.0,6.0,6.5,7.0,8.0,7.5,8.0,7.0,7.5,,,,,,,2017 05 10 7
2017 05 10 8,6.0,,6.0,4.0,,4.0,2.0,2.0,2.0,7.0,7.0,7.0,,,,,,,2017 05 10 8
2017 05 10 9,6.0,6.0,6.0,7.0,7.0,7.0,7.0,,7.0,7.0,,7.0,6.0,5.0,5.5,5.0,6.0,5.5,2017 05 10 9
