Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
3042,2017 05 10 2,JS,5,5,0,0,0,1,0,0
3043,2017 05 18 5,JS,5,3,0,0,0,0,0,0
3044,2017 10 05 9,JS,5,5,0,0,0,0,0,0
3045,2017 03 23 6,JS,3,7,1,1,0,0,0,0
3046,2017 12 01 7,JS,4,5,1,0,0,0,0,0
3047,2017 12 01 5,JS,5,4,0,0,0,0,0,0
3048,2017 04 12 3,JS,4,4,0,0,0,0,0,0
3049,2017 05 05 8,JS,4,4,0,0,0,0,0,0
3050,2016 11 24 3,JS,3,6,0,1,0,0,0,0
3051,2016 10 21 3,JS,6,4,0,0,0,0,0,0
3052,2016 09 23 8,JS,4,5,0,0,0,0,0,0
3053,2016 05 12 7,JS,6,6,0,0,0,0,0,1
3054,2016 02 26 0,JS,4,5,0,0,0,0,0,0
3056,2015 04 01 4,JS,5,6,0,0,0,0,0,0
3057,2015 04 01 5,JS,4,6,1,1,0,0,0,0
3058,2017 06 20 7,JS,4,6,0,0,0,0,0,0
3059,2017 06 20 9,JS,5,5,0,0,0,0,0,0
3060,2017 11 20 5,JS,5,7,0,0,0,0,0,0
3061,2017 05 02 5,JS,5,4,0,0,0,0,0,0
3062,2017 12 01 4,JS,5,6,0,0,0,0,0,0
3063,2017 11 23 2,JS,5,5,0,1,0,0,0,0
3064,2015 02 25 5,JS,5,4,0,0,0,0,0,0
3065,2017 12 01 3,JS,4,5,0,0,0,0,0,0
3066,2015 05 27 1,JS,4,5,0,0,0,0,0,0
3068,2017 10 02 9,JS,6,4,0,0,0,0,0,0
3069,2017 05 10 3,JS,5,5,0,1,0,0,0,0
3071,2017 09 22 7,JS,4,6,0,1,0,0,0,0
3072,2017 10 02 0,JS,5,5,0,0,0,0,0,0
3073,2017 10 05 5,JS,5,5,0,0,0,0,0,0
3074,2017 06 01 4,JS,7,3,1,1,0,0,0,0
3075,2017 06 06 1,JS,7,3,1,1,0,0,0,0
3076,2017 02 10 7,JS,4,7,0,0,0,0,0,0
3077,2016 12 12 2,JS,4,7,0,0,0,0,0,0
3078,2016 10 06 0,JS,3,6,0,0,0,0,0,0
3079,2016 05 04 1,JS,5,3,1,1,0,0,0,0
3080,2015 06 17 0,JS,4,6,0,0,0,0,0,0
3081,2015 06 04 6,JS,5,3,0,0,0,0,0,0
3082,2015 03 27 5,JS,5,5,0,0,0,0,0,0
3083,2015 05 15 6,JS,5,5,0,0,0,0,0,0
3084,2017 12 08 7,JS,3,5,1,1,0,0,0,0
3085,2017 05 15 1,JS,5,5,0,0,0,0,0,0
3086,2017 12 13 3,JS,3,7,1,1,0,0,0,0
3088,2017 12 05 8,JS,6,6,0,0,0,0,0,1
3089,2017 12 05 2,JS,7,6,0,0,0,0,0,0
3090,2015 02 25 9,JS,5,3,0,0,0,0,0,0
3091,2017 12 01 4,JS,4,5,1,0,0,0,0,0
3092,2015 04 24 6,JS,3,5,1,0,0,0,0,0
3093,2015 04 01 4,JS,4,6,1,0,0,0,0,0
3094,2017 09 22 5,JS,5,5,0,0,0,0,0,0
3095,2017 10 17 7,JS,5,7,0,0,0,0,0,0
3096,2017 10 25 7,JS,3,4,0,1,0,0,0,0
3097,2017 10 05 5,JS,5,4,0,0,0,0,0,0
3098,2017 11 28 7,JS,2,7,1,1,0,0,0,0
3099,2017 10 25 6,JS,5,6,0,0,0,0,0,0
3100,2017 05 05 9,JS,8,3,1,1,0,1,0,0
3101,2017 05 18 8,JS,6,5,0,0,0,0,0,0
3102,2017 02 10 3,JS,6,6,0,0,0,0,0,0
3104,2016 05 04 1,JS,6,4,0,0,0,0,0,0
3107,2016 02 23 0,JS,3,5,0,1,0,0,0,0
3108,2015 04 24 5,JS,5,5,0,0,0,0,0,0
3109,2015 01 28 9,JS,5,3,0,0,0,0,0,0
3110,2017 11 20 0,JS,7,6,0,0,0,0,0,1
3111,2017 06 09 9,JS,6,4,0,0,0,0,0,0
